listing_id,year,engine_cc,mileage_km,transmission,fuel_type,body_type,city
3319957D-88E7-45B4-Aa3C-626D8873Ecff,2018,800.0,13112.0,Automatic,Petrol,Suv,Karachi
94C54Bc6-6E9E-45F8-Aa20-9C0A882Ba6C3,2021,800.0,176706.5,Manual,Hybrid,Coupe,Lahore
02Cacc7E-6514-4Ce0-8E0B-77E9Ac1469E6,1998,800.0,114629.0,Manual,Hybrid,Sedan,Faisalabad
40962B2E-327C-4990-A0E3-F314991B1C9D,2026,2000.0,340726.0,Automatic,Petrol,Coupe,Faisalabad
Ccc2A2B9-3C32-4E22-A776-677820739E8A,2006,800.0,83707.0,Automatic,Diesel,Hatchback,Karachi
09263624-3982-40B6-B34C-0Ff1Ea7Ebf1B,2004,1300.0,53587.0,Manual,Diesel,Sedan,Islamabad
B3Ee1Ca2-55Ad-4825-9672-7Dfd49273Dc9,2009,1800.0,138685.0,Manual,Hybrid,Coupe,Faisalabad
9C5989A0-1858-4930-8A86-Af9E52377D1B,2001,1500.0,41313.0,Automatic,Hybrid,Hatchback,Faisalabad
3C595B88-Cd8E-494A-83F1-8E6B2Ed5C235,2004,2000.0,36466.0,Manual,Hybrid,Suv,Islamabad
Af4100F2-38B4-4420-B135-23368540B457,2000,1000.0,52953.0,Automatic,Diesel,Coupe,Islamabad
D1F390De-4C54-4154-9F85-14D766C3B9Ad,2003,1300.0,176706.5,Manual,Hybrid,Hatchback,Lahore
7Fda817C-068F-4Cd8-A65B-A27783A9Afba,2017,2000.0,89725.0,Manual,Petrol,Coupe,Rawalpindi
2F5B8Ef6-7E82-4817-84Bb-0B4210274A56,2006,2000.0,292002.0,Manual,Hybrid,Hatchback,Lahore
73778C9B-835C-4B3E-8040-009C2664A026,2005,800.0,165388.0,Automatic,Diesel,Sedan,Karachi
E3632222-50Fb-4968-Ba8C-Bd569171C41F,2016,2000.0,164981.0,Manual,Hybrid,Coupe,Rawalpindi
8B615Df9-0928-45F1-Af08-Dc05F2A0C1Ed,2018,1500.0,74905.0,Automatic,Petrol,Suv,Faisalabad
0Fa74Bbf-29C0-470D-8032-205C49D3873A,2015,1300.0,306491.0,Automatic,Hybrid,Coupe,Islamabad
Fa7Ef102-4C79-42Fc-B1A3-7D024B876041,2005,1000.0,267138.0,Automatic,Petrol,Sedan,Lahore
16B2C286-0091-45B6-9305-92154Afbf22B,2002,2000.0,83876.0,Automatic,Hybrid,Sedan,Rawalpindi
Db77A1E1-1745-47B9-Bff8-Ef4054B58546,2010,1800.0,245392.0,Automatic,Hybrid,Sedan,Lahore
0678B225-8F58-4Bf9-A08D-48Fa8Bc333F5,2019,1800.0,139893.0,Automatic,Petrol,Hatchback,Rawalpindi
8F1208Dd-580C-41E8-Bea8-0Cbb4D223757,2003,1500.0,1701.0,Automatic,Hybrid,Suv,Faisalabad
9Dbe1Ae2-3703-456D-B57B-436354Ae87Fb,2001,2000.0,156471.0,Manual,Petrol,Hatchback,Karachi
633A4Af0-4Fae-4D4E-90Bd-Bb15306B186B,2015,1800.0,299.0,Automatic,Diesel,Sedan,Lahore
B0505068-Cce0-4647-8C81-2Cb97D6Bf78E,2009,1300.0,125541.0,Manual,Petrol,Sedan,Lahore
5Fc5438A-6580-460B-8Cfb-2955358660Dc,2021,1500.0,36287.0,Manual,Petrol,Coupe,Faisalabad
Cadc36Fd-Dc2D-439A-B444-E8799Ca23F68,2003,1300.0,276653.0,Automatic,Petrol,Suv,Islamabad
86C20A40-6Fef-4Dbb-965B-E488Ffd4F01F,2010,2000.0,340723.0,Automatic,Diesel,Coupe,Lahore
1D4C07Cb-65E6-4Eaa-B8A4-B21Eb6E29Feb,2005,1000.0,33568.0,Automatic,Petrol,Suv,Faisalabad
51Ba4612-5011-45E3-B3Fa-9663Cf6B1Baa,2005,800.0,37220.0,Manual,Petrol,Sedan,Lahore
Fbf2Deba-1358-498E-B0C0-A6629052A94F,2008,800.0,269565.0,Manual,Diesel,Coupe,Karachi
33C52322-26Df-4440-B892-7A9Df6233C1F,2015,1000.0,299391.0,Automatic,Petrol,Coupe,Rawalpindi
18911777-5A42-4693-8Cc3-Ebf588320E64,2004,800.0,50819.0,Automatic,Diesel,Coupe,Rawalpindi
Bc049A81-6945-429E-A18C-Fb1Bc428Fd92,2012,2000.0,28401.0,Manual,Petrol,Coupe,Islamabad
532C0636-Bcc2-4978-A63E-D20D2D9B66Ac,2023,800.0,130367.0,Manual,Petrol,Coupe,Karachi
4E7F30F0-Ded1-4Df4-Bac4-1D4Dc3F745Ca,2011,1000.0,146037.0,Automatic,Petrol,Sedan,Rawalpindi
A5Af302E-8276-4766-94Dd-5E7F7Fd38Dfb,2023,1800.0,51332.0,Manual,Hybrid,Sedan,Lahore
71Df9C46-3451-48Ba-93A5-0893C078034B,2022,1000.0,87194.0,Automatic,Diesel,Coupe,Karachi
Da4D3192-5B2B-40E9-8A44-6Be474Cf5683,2010,800.0,86317.0,Automatic,Petrol,Coupe,Islamabad
F4C808A9-22A5-4Dab-Abfb-F24E37E30E7F,2023,1500.0,149552.0,Automatic,Hybrid,Coupe,Karachi
F5186145-413E-4Fed-A9B0-5Bab0Cea5836,2004,1300.0,114137.0,Manual,Hybrid,Sedan,Islamabad
993C25A2-Aec1-4968-89F5-C625Ef445B8E,1999,800.0,306277.0,Automatic,Hybrid,Suv,Lahore
E4B5C1D6-E094-4F65-Bf4C-Dcbf3A7A2Abb,2014,800.0,97425.0,Manual,Hybrid,Sedan,Karachi
0C5F1Eaf-A6Fc-4A71-8301-Abfcb4A33455,2010,800.0,298673.0,Manual,Hybrid,Sedan,Faisalabad
F741790A-584D-4A50-8A64-966F9Af7930C,2000,1500.0,344652.0,Automatic,Diesel,Suv,Islamabad
09Eb2Df6-0A7E-47B0-Ae09-Df833E5C4062,2005,1300.0,207505.0,Manual,Hybrid,Hatchback,Rawalpindi
88Ae5523-Ebff-45Cb-945C-3E361E9Eec98,2008,800.0,4883.0,Automatic,Hybrid,Sedan,Lahore
Ccda3E1C-811A-44Ea-Af50-C3Dba8Cbb5A9,2015,1000.0,265229.0,Automatic,Petrol,Hatchback,Lahore
9450963A-3Ef2-4B7C-Af7A-Dbe9Ce6Fda4A,2005,1300.0,149415.0,Manual,Diesel,Hatchback,Faisalabad
00011Cef-3Cb3-4A83-888A-1Ab8F76A1774,2023,2000.0,277317.0,Manual,Hybrid,Hatchback,Lahore
266Eed06-5Af3-49C6-8036-2065Db9F3650,2002,1300.0,60517.0,Manual,Hybrid,Suv,Islamabad
162E12B2-Ba50-42F5-Aaf0-4A5D639264E7,2007,1800.0,110430.0,Automatic,Petrol,Hatchback,Faisalabad
8Ee5E42A-705C-4B90-8Fd4-D231Ea2C38E2,2013,1300.0,26633.0,Manual,Hybrid,Coupe,Islamabad
8Fa79Fad-F824-4B95-Aacf-6F47Cc62B5Fb,1999,800.0,174879.0,Manual,Hybrid,Hatchback,Karachi
